  杭锦旗 017400 内蒙古,鄂尔多斯,杭锦旗 39.833309 108.736208 101080709    
  东胜 017000 内蒙古,鄂尔多斯,东胜 39.822507 109.963339 101080713    
  临河 015000 内蒙古,巴彦淖尔,临河 40.751187 107.363919 101080801    
  五原 015100 内蒙古,巴彦淖尔,五原 41.088422 108.267562 101080802    
  磴口 015200 内蒙古,巴彦淖尔,磴口 40.330524 107.008248 101080803    
  乌中旗  内蒙古,巴彦淖尔,乌中旗 40.743200 107.387657 101080806    
  海力素  内蒙古,巴彦淖尔,海力素 41.810480 105.938977 101080808    
  杭锦后旗 015400 内蒙古,巴彦淖尔,杭锦后旗 40.885896 107.150909 101080810    
  锡林浩特 026000 内蒙古,锡林郭勒,锡林浩特 43.933411 116.086032 101080901    
  二连浩特 012600 内蒙古,锡林郭勒,二连浩特 43.653170 111.977943 101080903    
  阿巴嘎  内蒙古,锡林郭勒,阿巴嘎 44.022995 114.950248 101080904    
  苏左旗  内蒙古,锡林郭勒,苏左旗 43.859880 113.667249 101080906    
  苏右旗  内蒙古,锡林郭勒,苏右旗 42.742892 112.641783 101080907    
  东乌旗  内蒙古,锡林郭勒,东乌旗 45.524706 116.984196 101080909    
  西乌旗  内蒙古,锡林郭勒,西乌旗 44.587882 117.608911 101080910    
  太仆寺  内蒙古,锡林郭勒,太仆寺 41.877136 115.282986 101080911    
  正镶白旗 013800 内蒙古,锡林郭勒,正镶白旗 42.287471 115.029849 101080913    
  正蓝旗 027200 内蒙古,锡林郭勒,正蓝旗 42.241630 115.992470 101080914    
  多伦 027300 内蒙古,锡林郭勒,多伦 42.203591 116.485556 101080915    
  海拉尔 021000 内蒙古,呼伦贝尔,海拉尔 49.212192 119.736436 101081001    
  阿荣旗 162750 内蒙古,呼伦贝尔,阿荣旗 48.126585 123.459050 101081003    
  鄂伦春旗  内蒙古,呼伦贝尔,鄂伦春旗 50.591842 123.726201 101081005    
  鄂温克旗  内蒙古,呼伦贝尔,鄂温克旗 49.148818 119.752941 101081006    
  陈旗  内蒙古,呼伦贝尔,陈旗 49.320968 119.388180 101081007    
  新左旗  内蒙古,呼伦贝尔,新左旗 48.218241 118.269820 101081008    
  新右旗  内蒙古,呼伦贝尔,新右旗 48.672101 116.823690 101081009    
  满洲里 021400 内蒙古,呼伦贝尔,满洲里 49.597798 117.378727 101081010    
  牙克石 022150 内蒙古,呼伦贝尔,牙克石 49.285568 120.711770 101081011    
  额尔古纳 022250 内蒙古,呼伦贝尔,额尔古纳 50.243102 120.180506 101081014    
  图里河  内蒙古,呼伦贝尔,图里河 50.483436 121.674549 101081016    
  胡尔勒  内蒙古,兴安盟,胡尔勒 46.719639 122.093674 101081104    
  扎赉特  内蒙古,兴安盟,扎赉特 46.723237 122.899656 101081105    
  索伦  内蒙古,兴安盟,索伦 46.602669 121.240999 101081106    
  霍林郭勒 029200 内蒙古,通辽,霍林郭勒 45.531402 119.663710 101081108    
  额济纳  内蒙古,阿拉善盟,额济纳 41.958542 101.068934 101081203    
  吉兰太  内蒙古,阿拉善盟,吉兰太 39.759420 105.760789 101081205    
  锡林高勒  内蒙古,阿拉善盟,锡林高勒 43.933454 116.048222 101081206    
  头道湖  内蒙古,阿拉善盟,头道湖 38.841880 105.686754 101081207    
  诺尔公  内蒙古,阿拉善盟,诺尔公 40.164824 104.804053 101081209    
  石家庄 050000 河北,石家庄,石家庄 38.042307 114.514860 101090101    
  井陉 050300 河北,石家庄,井陉 38.032038 114.145309 101090102    
  正定 050800 河北,石家庄,正定 38.146445 114.570941 101090103    
  栾城 051430 河北,石家庄,栾城 37.900200 114.648318 101090104    
  行唐 050600 河北,石家庄,行唐 38.438411 114.552692 101090105    
  灵寿 050500 河北,石家庄,灵寿 38.308628 114.382645 101090106    
  高邑 051330 河北,石家庄,高邑 37.615363 114.611522 101090107    
  深泽 052560 河北,石家庄,深泽 38.184072 115.200910 101090108    
  赞皇 051230 河北,石家庄,赞皇 37.665600 114.386183 101090109    
  无极 052400 河北,石家庄,无极 38.179141 114.976337 101090110    
