areaid	FORECAST_TIME	day_rehumidity	night_rehumidity
101110510	2015-06-23 19:00:00	73	94
101110510	2015-06-24 19:00:00	73	92
101110510	2015-06-25 19:00:00	69	85
101110510	2015-06-26 19:00:00	64	88
101110510	2015-06-27 19:00:00	61	81
101110510	2015-06-28 19:00:00	62	78
101190908	2015-06-19 19:00:00	61	80
101190908	2015-06-20 19:00:00	72	86
101190908	2015-06-21 19:00:00	58	88
101190908	2015-06-22 19:00:00	66	92
101190908	2015-06-23 19:00:00	72	96
101190908	2015-06-24 19:00:00	97	100
101190908	2015-06-25 19:00:00	90	96
101190908	2015-06-26 19:00:00	83	96
101190908	2015-06-27 19:00:00	88	100
101190908	2015-06-28 19:00:00	83	98
101081005	2015-06-19 19:00:00	39	72
101081005	2015-06-20 19:00:00	35	64
101081005	2015-06-21 19:00:00	52	88
101081005	2015-06-22 19:00:00	51	84
101081005	2015-06-23 19:00:00	49	90
101081005	2015-06-24 19:00:00	67	93
101081005	2015-06-25 19:00:00	60	86
101081005	2015-06-26 19:00:00	57	82
